tim_day,seller_nickname,titulo,seller_reputation,stock,logistic_type,condition,is_refurbished,price,regular_price,categoria,url,category_id,category_name
2024-08-01,35226787bd,Silla Sillón Reclinable Hidromasaje Spa Pedicure Lexor Liber,green_platinum,2,Otro,new,False,34977.02,,BEAUTY PROFESSIONAL,https://articulo.mercadolibre.com.mx/MLM-874196462-silla-sillon-reclinable-hidromasaje-spa-pedicure-lexor-liber-_JM,BEAUTY PROFESSIONAL,BELLEZA PROFESIONAL
2024-08-01,960335d170,Sistema De Presoterapia Para Cuerpo Completo Normatec 3,green_platinum,3,FBM,new,False,32309.1,35899.0,BEAUTY PROFESSIONAL,https://articulo.mercadolibre.com.mx/MLM-1551050786-sistema-de-presoterapia-para-cuerpo-completo-normatec-3-_JM,BEAUTY PROFESSIONAL,BELLEZA PROFESIONAL
2024-08-01,2f5d4e0274,Laser Tridiodo Soprano,newbie,4,XD,new,False,37000.0,,BEAUTY PROFESSIONAL,https://articulo.mercadolibre.com.mx/MLM-3073723922-laser-tridiodo-soprano-_JM,BEAUTY PROFESSIONAL,BELLEZA PROFESIONAL
2024-08-01,e11b488a60,Activador Digital De Pedestal Para Tintes Ak-s23s-b Takara B,green_platinum,24,Otro,new,False,57000.0,,BEAUTY PROFESSIONAL,https://articulo.mercadolibre.com.mx/MLM-1923300859-activador-digital-de-pedestal-para-tintes-ak-s23s-b-takara-b-_JM,BEAUTY PROFESSIONAL,BELLEZA PROFESIONAL
2024-08-01,358d1f33c2,Protector Solar La Roche-posay Anthelios Ultra Fps 50 Cream En Crema De 50 ml,yellow,0,XD,new,False,1000000.0,,BEAUTY PERSONAL CARE,https://articulo.mercadolibre.com.mx/MLM-1478293735-protector-solar-la-roche-posay-anthelios-ultra-fps-50-cream-en-crema-de-50ml-_JM,BEAUTY PERSONAL CARE,CUIDADO PERSONAL Y BELLEZA
2024-08-01,e76445e190, Dior Sauvage Eau De Toilette Tradicional Eau De Toilette 100 ml Para  Hombre Recargable,red,1000,DS,new,False,99999.0,,FRAGRANCES & MAKE UP,https://articulo.mercadolibre.com.mx/MLM-2655772120-dior-sauvage-eau-de-toilette-tradicional-eau-de-toilette-100ml-para-hombre-recargable-_JM,FRAGRANCES & MAKE UP,FRAGANCIAS Y MAQUILLAJE
2024-08-01,1b6ee0edee,Maquina Helado Suave Nieve Comercial Yoghurt 3 Sabores,green,2,Otro,new,False,39600.0,55000.0,INDUSTRY,https://articulo.mercadolibre.com.mx/MLM-2100720735-maquina-helado-suave-nieve-comercial-yoghurt-3-sabores-_JM,INDUSTRY,INDUSTRIA
2024-08-01,cd012a4d8c,Kit Solar Autónomo 10080w (clima) Mayor Uso Día Y Respaldo,green,551,XD,new,False,72711.89,,CONSTRUCTION,https://articulo.mercadolibre.com.mx/MLM-2054830467-kit-solar-autonomo-10080w-clima-mayor-uso-dia-y-respaldo-_JM,CONSTRUCTION,CONSTRUCCIÓN
2024-08-01,acfdbfbb42,Maquina De Soldar Mi 2-300 Cd Infra Color Azul Frecuencia 60hz,green_gold,3,XD,new,False,30000.0,,TOOLS,https://articulo.mercadolibre.com.mx/MLM-2044027703-maquina-de-soldar-mi-2-300-cd-infra-color-azul-frecuencia-60hz-_JM,TOOLS,HERRAMIENTAS
2024-08-01,6f66c7a63b,Contenedor Marítimo 20 Ft Adaptado Para Local O Bodega Móvil,green,2,Otro,new,False,265000.0,,INDUSTRY,https://articulo.mercadolibre.com.mx/MLM-3233337344-contenedor-maritimo-20-ft-adaptado-para-local-o-bodega-movil-_JM,INDUSTRY,INDUSTRIA
